@relation biodiversitySpreadsheets_whithoutWeights

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
373,27,1074,526,0.67125,0.9325,0.257775,0.9325,0.742225,0.403898,0.7235,1.288874,0.011149
372,28,1074,526,0.67125,0.93,0.257261,0.93,0.742739,0.403034,0.723,1.286307,0.012
372,28,1073,527,0.670625,0.93,0.257439,0.93,0.742561,0.403252,0.7225,1.287197,0.0125
372,28,1072,528,0.67,0.93,0.257618,0.93,0.742382,0.403471,0.722,1.288089,0.012548
372,28,1071,529,0.669375,0.93,0.257796,0.93,0.742204,0.40369,0.7215,1.288981,0.01303
372,28,1070,530,0.66875,0.93,0.257975,0.93,0.742025,0.403909,0.721,1.289875,0.013333
371,29,1069,531,0.668125,0.9275,0.257639,0.9275,0.742361,0.403261,0.72,1.288194,0.013437
371,29,1068,532,0.6675,0.9275,0.257818,0.9275,0.742182,0.40348,0.7195,1.28909,0.013667
371,29,1067,533,0.666875,0.9275,0.257997,0.9275,0.742003,0.4037,0.719,1.289986,0.014
371,29,1066,534,0.66625,0.9275,0.258177,0.9275,0.741823,0.403919,0.7185,1.290884,0.014286
371,29,1065,535,0.665625,0.9275,0.258357,0.9275,0.741643,0.404139,0.718,1.291783,0.014444
371,29,1064,536,0.665,0.9275,0.258537,0.9275,0.741463,0.40436,0.7175,1.292683,0.014696
371,29,1063,537,0.664375,0.9275,0.258717,0.9275,0.741283,0.40458,0.717,1.293584,0.015
371,29,1062,538,0.66375,0.9275,0.258897,0.9275,0.741103,0.404801,0.7165,1.294487,0.015333
371,29,1061,539,0.663125,0.9275,0.259078,0.9275,0.740922,0.405022,0.716,1.295391,0.015417
371,29,1060,540,0.6625,0.9275,0.259259,0.9275,0.740741,0.405243,0.7155,1.296296,0.016187
371,29,1059,541,0.661875,0.9275,0.259441,0.9275,0.740559,0.405464,0.715,1.297203,0.016667
371,29,1058,542,0.66125,0.9275,0.259622,0.9275,0.740378,0.405686,0.7145,1.298111,0.016842
371,29,1057,543,0.660625,0.9275,0.259804,0.9275,0.740196,0.405908,0.714,1.29902,0.017208
370,30,1057,543,0.660625,0.925,0.259285,0.925,0.740715,0.405036,0.7135,1.296426,0.017879
370,30,1056,544,0.66,0.925,0.259467,0.925,0.740533,0.405257,0.713,1.297335,0.018076
370,30,1055,545,0.659375,0.925,0.259649,0.925,0.740351,0.405479,0.7125,1.298246,0.018222
369,31,1055,545,0.659375,0.9225,0.259129,0.9225,0.740871,0.404605,0.712,1.295646,0.018379
368,32,1048,552,0.655,0.92,0.259887,0.92,0.740113,0.405286,0.708,1.299435,0.018546
368,32,1047,553,0.654375,0.92,0.260071,0.92,0.739929,0.40551,0.7075,1.300353,0.019163
368,32,1044,556,0.6525,0.92,0.260623,0.92,0.739377,0.406181,0.706,1.303116,0.019214
368,32,1039,561,0.649375,0.92,0.261549,0.92,0.738451,0.407305,0.7035,1.307747,0.019396
368,32,1036,564,0.6475,0.92,0.262108,0.92,0.737892,0.407982,0.702,1.310541,0.019431
367,33,1035,565,0.646875,0.9175,0.261769,0.9175,0.738231,0.407325,0.701,1.308845,0.02
366,34,1035,565,0.646875,0.915,0.261242,0.915,0.738758,0.406441,0.7005,1.30621,0.02
366,34,1008,592,0.63,0.915,0.266376,0.915,0.733624,0.412627,0.687,1.331878,0.02
366,34,1005,595,0.628125,0.915,0.266958,0.915,0.733042,0.413326,0.6855,1.334792,0.020111
366,34,1004,596,0.6275,0.915,0.267153,0.915,0.732847,0.413559,0.685,1.335766,0.020355
366,34,1003,597,0.626875,0.915,0.267348,0.915,0.732652,0.413793,0.6845,1.336742,0.020833
366,34,1002,598,0.62625,0.915,0.267544,0.915,0.732456,0.414027,0.684,1.337719,0.021405
366,34,1001,599,0.625625,0.915,0.26774,0.915,0.73226,0.414261,0.6835,1.338698,0.021428
366,34,1000,600,0.625,0.915,0.267936,0.915,0.732064,0.414496,0.683,1.339678,0.021485
365,35,1000,600,0.625,0.9125,0.267399,0.9125,0.732601,0.413598,0.6825,1.336996,0.021667
365,35,999,601,0.624375,0.9125,0.267595,0.9125,0.732405,0.413832,0.682,1.337977,0.022
365,35,998,602,0.62375,0.9125,0.267792,0.9125,0.732208,0.414067,0.6815,1.338958,0.022669
365,35,994,606,0.62125,0.9125,0.26858,0.9125,0.73142,0.415009,0.6795,1.342899,0.022857
365,35,993,607,0.620625,0.9125,0.268778,0.9125,0.731222,0.415245,0.679,1.343888,0.023
365,35,992,608,0.62,0.9125,0.268976,0.9125,0.731024,0.415481,0.6785,1.344878,0.023294
365,35,991,609,0.619375,0.9125,0.269174,0.9125,0.730826,0.415718,0.678,1.34587,0.023465
365,35,990,610,0.61875,0.9125,0.269373,0.9125,0.730627,0.415954,0.6775,1.346863,0.023487
364,36,988,612,0.6175,0.91,0.269231,0.91,0.730769,0.415525,0.676,1.346154,0.023538
364,36,987,613,0.616875,0.91,0.26943,0.91,0.73057,0.415762,0.6755,1.34715,0.02381
364,36,986,614,0.61625,0.91,0.26963,0.91,0.73037,0.416,0.675,1.348148,0.024167
364,36,980,620,0.6125,0.91,0.270833,0.91,0.729167,0.417431,0.672,1.354167,0.024426
364,36,979,621,0.611875,0.91,0.271035,0.91,0.728965,0.417671,0.6715,1.355175,0.024438
364,36,978,622,0.61125,0.91,0.271237,0.91,0.728763,0.41791,0.671,1.356185,0.02482
364,36,977,623,0.610625,0.91,0.271439,0.91,0.728561,0.41815,0.6705,1.357196,0.024988
364,36,976,624,0.61,0.91,0.271642,0.91,0.728358,0.418391,0.67,1.358209,0.025069
364,36,973,627,0.608125,0.91,0.272251,0.91,0.727749,0.419113,0.6685,1.361257,0.025228
364,36,968,632,0.605,0.91,0.273273,0.91,0.726727,0.420323,0.666,1.366366,0.025445
363,37,964,636,0.6025,0.9075,0.273549,0.9075,0.726451,0.420382,0.6635,1.367747,0.026559
363,37,961,639,0.600625,0.9075,0.274169,0.9075,0.725831,0.421114,0.662,1.370846,0.026667
363,37,960,640,0.6,0.9075,0.274376,0.9075,0.725624,0.421358,0.6615,1.371882,0.026857
363,37,957,643,0.598125,0.9075,0.275,0.9075,0.725,0.422093,0.66,1.375,0.027333
363,37,956,644,0.5975,0.9075,0.275208,0.9075,0.724792,0.422339,0.6595,1.376042,0.027696
362,38,951,649,0.594375,0.905,0.275704,0.905,0.724296,0.42265,0.6565,1.378522,0.028138
362,38,942,658,0.58875,0.905,0.277607,0.905,0.722393,0.424883,0.652,1.388037,0.028333
362,38,941,659,0.588125,0.905,0.27782,0.905,0.72218,0.425132,0.6515,1.389102,0.028385
362,38,940,660,0.5875,0.905,0.278034,0.905,0.721966,0.425382,0.651,1.390169,0.028413
362,38,939,661,0.586875,0.905,0.278248,0.905,0.721752,0.425632,0.6505,1.391238,0.028561
362,38,938,662,0.58625,0.905,0.278462,0.905,0.721538,0.425882,0.65,1.392308,0.03
361,39,936,664,0.585,0.9025,0.278335,0.9025,0.721665,0.425457,0.6485,1.391673,0.03
359,41,929,671,0.580625,0.8975,0.278727,0.8975,0.721273,0.425355,0.644,1.393634,0.03
359,41,928,672,0.58,0.8975,0.278943,0.8975,0.721057,0.425608,0.6435,1.394716,0.03
359,41,927,673,0.579375,0.8975,0.27916,0.8975,0.72084,0.42586,0.643,1.395801,0.030333
358,42,927,673,0.579375,0.895,0.278599,0.895,0.721401,0.424926,0.6425,1.392996,0.03039
358,42,920,680,0.575,0.895,0.280125,0.895,0.719875,0.426698,0.639,1.400626,0.030561
358,42,919,681,0.574375,0.895,0.280345,0.895,0.719655,0.426953,0.6385,1.401723,0.030671
358,42,909,691,0.568125,0.895,0.282557,0.895,0.717443,0.429514,0.6335,1.412786,0.0309
358,42,899,701,0.561875,0.895,0.284805,0.895,0.715195,0.432106,0.6285,1.424025,0.03098
358,42,897,703,0.560625,0.895,0.285259,0.895,0.714741,0.432628,0.6275,1.426295,0.03125
358,42,896,704,0.56,0.895,0.285486,0.895,0.714514,0.43289,0.627,1.427432,0.031333
358,42,894,706,0.55875,0.895,0.285942,0.895,0.714058,0.433414,0.626,1.429712,0.032107
358,42,893,707,0.558125,0.895,0.286171,0.895,0.713829,0.433677,0.6255,1.430855,0.0325
358,42,892,708,0.5575,0.895,0.2864,0.895,0.7136,0.433939,0.625,1.432,0.0325
358,42,891,709,0.556875,0.895,0.286629,0.895,0.713371,0.434203,0.6245,1.433147,0.032549
358,42,890,710,0.55625,0.895,0.286859,0.895,0.713141,0.434466,0.624,1.434295,0.032643
358,42,877,723,0.548125,0.895,0.289879,0.895,0.710121,0.43792,0.6175,1.449393,0.032785
358,42,867,733,0.541875,0.895,0.292245,0.895,0.707755,0.440615,0.6125,1.461224,0.033758
358,42,856,744,0.535,0.895,0.294893,0.895,0.705107,0.443618,0.607,1.474465,0.033939
358,42,855,745,0.534375,0.895,0.295136,0.895,0.704864,0.443893,0.6065,1.47568,0.034
