True Positives	 False Negatives	 False Positives	 True Negatives	 False Positive Rate	 True Positive Rate	 Precision numeric	 Recall numeric	 Fallout numeric	 FMeasure numeric	 Sample Size	 Lift numeric	 Threshold numeric		da curva maior para a menor
14	25	31	125	0,198718	0,358974	0,311111	0,358974	0,688889	0,333333	0,230769	1,555556	0,47		
14	25	30	126	0,192308	0,358974	0,318182	0,358974	0,681818	0,337349	0,225641	1,590909	0,483083		
14	25	29	127	0,185897	0,358974	0,325581	0,358974	0,674419	0,341463	0,220513	1,627907	0,49		
13	26	29	127	0,185897	0,333333	0,309524	0,333333	0,690476	0,320988	0,215385	1,547619	0,522081		
13	26	28	128	0,179487	0,333333	0,317073	0,333333	0,682927	325	0,210256	1,585366	0,53028		
12	27	28	128	0,179487	0,307692	0,3	0,307692	0,7	0,303797	0,205128	1,5	0,531624		
12	27	27	129	0,173077	0,307692	0,307692	0,307692	0,692308	0,307692	0,2	1,538462	0,541228		
12	27	26	130	0,166667	0,307692	0,315789	0,307692	0,684211	0,311688	0,194872	1,578947	0,541398		
12	27	25	131	0,160256	0,307692	0,324324	0,307692	0,675676	0,315789	0,189744	1,621622	0,55		
12	27	24	132	0,153846	0,307692	0,333333	0,307692	0,666667	0,32	0,184615	1,666667	0,586286		
11	28	24	132	0,153846	0,282051	0,314286	0,282051	0,685714	0,297297	0,179487	1,571429	0,59		
11	28	23	133	0,147436	0,282051	0,323529	0,282051	0,676471	0,30137	0,174359	1,617647	0,607425		
11	28	22	134	0,141026	0,282051	0,333333	0,282051	0,666667	0,305556	0,169231	1,666667	0,61		
10	29	22	134	0,141026	0,25641	0,3125	0,25641	0,6875	0,28169	0,164103	1,5625	0,63		
10	29	21	135	0,134615	0,25641	0,322581	0,25641	0,677419	0,285714	0,158974	1,612903	0,632913		
10	29	20	136	0,128205	0,25641	0,333333	0,25641	0,666667	0,289855	0,153846	1,666667	0,64		
10	29	19	137	0,121795	0,25641	0,344828	0,25641	0,655172	0,294118	0,148718	1,724138	0,6625		
10	29	18	138	0,115385	0,25641	0,357143	0,25641	0,642857	0,298507	0,14359	1,785714	0,6725		
10	29	17	139	0,108974	0,25641	0,37037	0,25641	0,62963	0,30303	0,138462	1,851852	673		
10	29	16	140	0,102564	0,25641	0,384615	0,25641	0,615385	0,307692	0,133333	1,923077	0,673679		
10	29	15	141	0,096154	0,25641	0,4	0,25641	0,6	0,3125	0,128205	2	0,68		
10	29	14	142	0,089744	0,25641	0,416667	0,25641	0,583333	0,31746	0,123077	2,083333	0,681667		
9	30	14	142	0,089744	0,230769	0,391304	0,230769	0,608696	0,290323	0,117949	1,956522	0,684786		
9	30	13	143	0,083333	0,230769	0,409091	0,230769	0,590909	0,295082	0,112821	2,045455	0,685921		
9	30	12	144	0,076923	0,230769	0,428571	0,230769	0,571429	0,3	0,107692	2,142857	0,69		
8	31	12	144	0,076923	0,205128	0,4	0,205128	0,6	0,271186	0,102564	2	0,73375		
7	32	12	144	0,076923	0,179487	0,368421	0,179487	0,631579	0,241379	0,097436	1,842105	0,74		
7	32	11	145	0,070513	0,179487	0,388889	0,179487	0,611111	0,245614	0,092308	1,944444	0,75		
6	33	11	145	0,070513	0,153846	0,352941	0,153846	0,647059	0,214286	0,087179	1,764706	0,761595		
5	34	11	145	0,070513	0,128205	0,3125	0,128205	0,6875	0,181818	0,082051	1,5625	0,763333		
5	34	10	146	0,064103	0,128205	0,333333	0,128205	0,666667	0,185185	0,076923	1,666667	0,782615		
5	34	9	147	0,057692	0,128205	0,357143	0,128205	0,642857	0,188679	0,071795	1,785714	0,789167		
5	34	8	148	0,051282	0,128205	0,384615	0,128205	0,615385	0,192308	0,066667	1,923077	0,8		
4	35	7	149	0,044872	0,102564	0,363636	0,102564	0,636364	0,16	0,05641	1,818182	0,804135		
4	35	6	150	0,038462	0,102564	0,4	0,102564	0,6	0,163265	0,051282	2	0,81381		
3	36	6	150	0,038462	0,076923	0,333333	0,076923	0,666667	125	0,046154	1,666667	0,83		
