@RELATION biodiversitySpreadsheets_TestSetWithoutWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{expObservation,taxonIdentification,spOccurrence,geneData,spMonitoring}

@DATA
6.00,0.00,0.00,2.00,0.00,2.00,spOccurrence
0.00,0.00,0.00,0.00,2.00,1.00,spOccurrence
6.00,1.00,5.00,0.00,7.00,2.00,spOccurrence
1.00,0.00,2.00,0.00,4.00,0.00,spOccurrence
8.00,3.00,3.00,0.00,9.00,2.00,spOccurrence
9.00,7.00,8.00,5.00,17.00,3.00,spOccurrence
2.00,1.00,0.00,1.00,5.00,2.00,spOccurrence
4.00,0.00,1.00,1.00,3.00,1.00,spOccurrence
2.00,0.00,0.00,0.00,1.00,0.00,spOccurrence
8.00,0.00,0.00,0.00,1.00,1.00,spOccurrence
5.00,0.00,1.00,0.00,0.00,0.00,spMonitoring
5.00,0.00,2.00,2.00,3.00,6.00,spMonitoring
3.00,2.00,3.00,1.00,4.00,4.00,spMonitoring
3.00,0.00,0.00,0.00,0.00,0.00,spMonitoring
4.00,0.00,2.00,2.00,1.00,3.00,spMonitoring
3.00,2.00,3.00,1.00,4.00,4.00,spMonitoring
7.00,0.00,1.00,0.00,0.00,3.00,spMonitoring
0.00,0.00,0.00,0.00,3.00,1.00,spMonitoring
2.00,1.00,0.00,1.00,0.00,0.00,spMonitoring
3.00,2.00,3.00,1.00,4.00,4.00,spMonitoring
3.00,2.00,3.00,1.00,4.00,4.00,spMonitoring
2.00,0.00,0.00,0.00,1.00,0.00,spMonitoring
3.00,0.00,2.00,2.00,3.00,2.00,spMonitoring
4.00,0.00,0.00,1.00,0.00,1.00,spMonitoring
4.00,0.00,3.00,0.00,0.00,2.00,spMonitoring
4.00,0.00,3.00,0.00,0.00,2.00,spMonitoring
4.00,0.00,0.00,1.00,1.00,0.00,spMonitoring
4.00,0.00,0.00,2.00,0.00,7.00,spMonitoring
2.00,0.00,1.00,0.00,0.00,0.00,spMonitoring
1.00,0.00,1.00,0.00,0.00,1.00,spMonitoring
2.00,1.00,2.00,0.00,1.00,3.00,spMonitoring
2.00,1.00,1.00,1.00,1.00,2.00,spMonitoring
3.00,0.00,1.00,1.00,0.00,4.00,spMonitoring
4.00,0.00,0.00,0.00,1.00,3.00,spMonitoring
3.00,0.00,1.00,1.00,0.00,2.00,spMonitoring
1.00,0.00,2.00,1.00,0.00,1.00,spMonitoring
1.00,0.00,2.00,0.00,0.00,2.00,spMonitoring
4.00,0.00,0.00,1.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,1.00,1.00,spMonitoring
8.00,0.00,1.00,1.00,2.00,3.00,spMonitoring
1.00,1.00,1.00,1.00,2.00,5.00,spMonitoring
1.00,0.00,0.00,1.00,1.00,4.00,spMonitoring
4.00,0.00,0.00,1.00,0.00,2.00,spMonitoring
2.00,0.00,2.00,1.00,0.00,1.00,spMonitoring
2.00,0.00,1.00,0.00,0.00,2.00,spMonitoring
3.00,0.00,1.00,1.00,0.00,2.00,spMonitoring
11.00,0.00,0.00,0.00,0.00,0.00,spMonitoring
