@relation biodiversitySpreadsheets_TestSetWeights

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
28,11,16,140,0.102564,0.717949,0.636364,0.717949,0.363636,0.674699,0.225641,3.181818,0.650509
27,12,16,140,0.102564,0.692308,0.627907,0.692308,0.372093,0.658537,0.220513,3.139535,0.655
27,12,15,141,0.096154,0.692308,0.642857,0.692308,0.357143,0.666667,0.215385,3.214286,0.66
27,12,14,142,0.089744,0.692308,0.658537,0.692308,0.341463,0.675,0.210256,3.292683,0.67
26,13,13,143,0.083333,0.666667,0.666667,0.666667,0.333333,0.666667,0.2,3.333333,0.68
26,13,12,144,0.076923,0.666667,0.684211,0.666667,0.315789,0.675325,0.194872,3.421053,0.71
26,13,11,145,0.070513,0.666667,0.702703,0.666667,0.297297,0.684211,0.189744,3.513514,0.717273
26,13,10,146,0.064103,0.666667,0.722222,0.666667,0.277778,0.693333,0.184615,3.611111,0.723143
25,14,10,146,0.064103,0.641026,0.714286,0.641026,0.285714,0.675676,0.179487,3.571429,0.73
25,14,8,148,0.051282,0.641026,0.757576,0.641026,0.242424,0.694444,0.169231,3.787879,0.75
25,14,7,149,0.044872,0.641026,0.78125,0.641026,0.21875,0.704225,0.164103,3.90625,0.76
25,14,6,150,0.038462,0.641026,0.806452,0.641026,0.193548,0.714286,0.158974,4.032258,0.77
24,15,6,150,0.038462,0.615385,0.8,0.615385,0.2,0.695652,0.153846,4,0.78
24,15,5,151,0.032051,0.615385,0.827586,0.615385,0.172414,0.705882,0.148718,4.137931,0.79
24,15,4,152,0.025641,0.615385,0.857143,0.615385,0.142857,0.716418,0.14359,4.285714,0.790889
23,16,4,152,0.025641,0.589744,0.851852,0.589744,0.148148,0.69697,0.138462,4.259259,0.809167
22,17,4,152,0.025641,0.564103,0.846154,0.564103,0.153846,0.676923,0.133333,4.230769,0.8125
22,17,3,153,0.019231,0.564103,0.88,0.564103,0.12,0.6875,0.128205,4.4,0.84
21,18,3,153,0.019231,0.538462,0.875,0.538462,0.125,0.666667,0.123077,4.375,0.8525
20,19,3,153,0.019231,0.512821,0.869565,0.512821,0.130435,0.645161,0.117949,4.347826,0.86
19,20,3,153,0.019231,0.487179,0.863636,0.487179,0.136364,0.622951,0.112821,4.318182,0.89
19,20,2,154,0.012821,0.487179,0.904762,0.487179,0.095238,0.633333,0.107692,4.52381,0.91425
18,21,2,154,0.012821,0.461538,0.9,0.461538,0.1,0.610169,0.102564,4.5,0.92
18,21,1,155,0.00641,0.461538,0.947368,0.461538,0.052632,0.62069,0.097436,4.736842,0.9225
17,22,1,155,0.00641,0.435897,0.944444,0.435897,0.055556,0.596491,0.092308,4.722222,0.95
15,24,1,155,0.00641,0.384615,0.9375,0.384615,0.0625,0.545455,0.082051,4.6875,0.9575
14,25,1,155,0.00641,0.358974,0.933333,0.358974,0.066667,0.518519,0.076923,4.666667,0.97
13,26,1,155,0.00641,0.333333,0.928571,0.333333,0.071429,0.490566,0.071795,4.642857,0.98
12,27,1,155,0.00641,0.307692,0.923077,0.307692,0.076923,0.461538,0.066667,4.615385,0.99
12,27,0,156,0,0.307692,1,0.307692,0,0.470588,0.061538,5,0.991667
11,28,0,156,0,0.282051,1,0.282051,0,0.44,0.05641,5,1
0,39,0,156,0,0,0,0,0,0,0,?,1.00001
39,0,156,0,1,1,0.2,1,0.8,0.333333,1,1,0
39,0,125,31,0.801282,1,0.237805,1,0.762195,0.384236,0.841026,1.189024,0.001838
38,1,125,31,0.801282,0.974359,0.233129,0.974359,0.766871,0.376238,0.835897,1.165644,0.01
37,2,116,40,0.74359,0.948718,0.24183,0.948718,0.75817,0.385417,0.784615,1.20915,0.0125
37,2,115,41,0.737179,0.948718,0.243421,0.948718,0.756579,0.387435,0.779487,1.217105,0.013333
37,2,114,42,0.730769,0.948718,0.245033,0.948718,0.754967,0.389474,0.774359,1.225166,0.015
37,2,113,43,0.724359,0.948718,0.246667,0.948718,0.753333,0.391534,0.769231,1.233333,0.02
37,2,110,46,0.705128,0.948718,0.251701,0.948718,0.748299,0.397849,0.753846,1.258503,0.02
37,2,109,47,0.698718,0.948718,0.253425,0.948718,0.746575,0.4,0.748718,1.267123,0.023333
37,2,108,48,0.692308,0.948718,0.255172,0.948718,0.744828,0.402174,0.74359,1.275862,0.03
37,2,103,53,0.660256,0.948718,0.264286,0.948718,0.735714,0.413408,0.717949,1.321429,0.04
37,2,98,58,0.628205,0.948718,0.274074,0.948718,0.725926,0.425287,0.692308,1.37037,0.041
37,2,97,59,0.621795,0.948718,0.276119,0.948718,0.723881,0.427746,0.687179,1.380597,0.045
37,2,95,61,0.608974,0.948718,0.280303,0.948718,0.719697,0.432749,0.676923,1.401515,0.046984
37,2,94,62,0.602564,0.948718,0.282443,0.948718,0.717557,0.435294,0.671795,1.412214,0.05
36,3,94,62,0.602564,0.923077,0.276923,0.923077,0.723077,0.426036,0.666667,1.384615,0.0555
35,4,94,62,0.602564,0.897436,0.271318,0.897436,0.728682,0.416667,0.661538,1.356589,0.058889
35,4,93,63,0.596154,0.897436,0.273438,0.897436,0.726563,0.419162,0.65641,1.367188,0.06
33,6,90,66,0.576923,0.846154,0.268293,0.846154,0.731707,0.407407,0.630769,1.341463,0.063095
33,6,89,67,0.570513,0.846154,0.270492,0.846154,0.729508,0.409938,0.625641,1.352459,0.07
33,6,87,69,0.557692,0.846154,0.275,0.846154,0.725,0.415094,0.615385,1.375,0.072619
33,6,86,70,0.551282,0.846154,0.277311,0.846154,0.722689,0.417722,0.610256,1.386555,0.073333
33,6,85,71,0.544872,0.846154,0.279661,0.846154,0.720339,0.420382,0.605128,1.398305,0.079752
32,7,85,71,0.544872,0.820513,0.273504,0.820513,0.726496,0.410256,0.6,1.367521,0.08
32,7,82,74,0.525641,0.820513,0.280702,0.820513,0.719298,0.418301,0.584615,1.403509,0.09
32,7,79,77,0.50641,0.820513,0.288288,0.820513,0.711712,0.426667,0.569231,1.441441,0.097476
32,7,78,78,0.5,0.820513,0.290909,0.820513,0.709091,0.42953,0.564103,1.454545,0.098333
32,7,77,79,0.49359,0.820513,0.293578,0.820513,0.706422,0.432432,0.558974,1.46789,0.1
32,7,74,82,0.474359,0.820513,0.301887,0.820513,0.698113,0.441379,0.54359,1.509434,0.101667
32,7,73,83,0.467949,0.820513,0.304762,0.820513,0.695238,0.444444,0.538462,1.52381,0.105
31,8,72,84,0.461538,0.794872,0.300971,0.794872,0.699029,0.43662,0.528205,1.504854,0.1075
30,9,72,84,0.461538,0.769231,0.294118,0.769231,0.705882,0.425532,0.523077,1.470588,0.11
30,9,71,85,0.455128,0.769231,0.29703,0.769231,0.70297,0.428571,0.517949,1.485149,0.115
30,9,70,86,0.448718,0.769231,0.3,0.769231,0.7,0.431655,0.512821,1.5,0.12
30,9,69,87,0.442308,0.769231,0.30303,0.769231,0.69697,0.434783,0.507692,1.515152,0.12
30,9,67,89,0.429487,0.769231,0.309278,0.769231,0.690722,0.441176,0.497436,1.546392,0.125
30,9,65,91,0.416667,0.769231,0.315789,0.769231,0.684211,0.447761,0.487179,1.578947,0.1275
30,9,64,92,0.410256,0.769231,0.319149,0.769231,0.680851,0.451128,0.482051,1.595745,0.130333
30,9,63,93,0.403846,0.769231,0.322581,0.769231,0.677419,0.454545,0.476923,1.612903,0.1385
30,9,62,94,0.397436,0.769231,0.326087,0.769231,0.673913,0.458015,0.471795,1.630435,0.139961
30,9,61,95,0.391026,0.769231,0.32967,0.769231,0.67033,0.461538,0.466667,1.648352,0.14
30,9,59,97,0.378205,0.769231,0.337079,0.769231,0.662921,0.46875,0.45641,1.685393,0.141667
30,9,57,99,0.365385,0.769231,0.344828,0.769231,0.655172,0.47619,0.446154,1.724138,0.1475
30,9,56,100,0.358974,0.769231,0.348837,0.769231,0.651163,0.48,0.441026,1.744186,0.149131
30,9,55,101,0.352564,0.769231,0.352941,0.769231,0.647059,0.483871,0.435897,1.764706,0.149167
29,10,55,101,0.352564,0.74359,0.345238,0.74359,0.654762,0.471545,0.430769,1.72619,0.151
29,10,54,102,0.346154,0.74359,0.349398,0.74359,0.650602,0.47541,0.425641,1.746988,0.156667
29,10,53,103,0.339744,0.74359,0.353659,0.74359,0.646341,0.479339,0.420513,1.768293,0.158452
29,10,52,104,0.333333,0.74359,0.358025,0.74359,0.641975,0.483333,0.415385,1.790123,0.160929
29,10,51,105,0.326923,0.74359,0.3625,0.74359,0.6375,0.487395,0.410256,1.8125,0.165
28,11,51,105,0.326923,0.717949,0.35443,0.717949,0.64557,0.474576,0.405128,1.772152,0.17
28,11,49,107,0.314103,0.717949,0.363636,0.717949,0.636364,0.482759,0.394872,1.818182,0.18
27,12,49,107,0.314103,0.692308,0.355263,0.692308,0.644737,0.469565,0.389744,1.776316,0.181883
26,13,49,107,0.314103,0.666667,0.346667,0.666667,0.653333,0.45614,0.384615,1.733333,0.183333
26,13,48,108,0.307692,0.666667,0.351351,0.666667,0.648649,0.460177,0.379487,1.756757,0.185
26,13,47,109,0.301282,0.666667,0.356164,0.666667,0.643836,0.464286,0.374359,1.780822,0.205
26,13,46,110,0.294872,0.666667,0.361111,0.666667,0.638889,0.468468,0.369231,1.805556,0.206667
26,13,45,111,0.288462,0.666667,0.366197,0.666667,0.633803,0.472727,0.364103,1.830986,0.2175
26,13,44,112,0.282051,0.666667,0.371429,0.666667,0.628571,0.477064,0.358974,1.857143,0.219333
25,14,44,112,0.282051,0.641026,0.362319,0.641026,0.637681,0.462963,0.353846,1.811594,0.225
25,14,43,113,0.275641,0.641026,0.367647,0.641026,0.632353,0.46729,0.348718,1.838235,0.23
25,14,40,116,0.25641,0.641026,0.384615,0.641026,0.615385,0.480769,0.333333,1.923077,0.24
25,14,38,118,0.24359,0.641026,0.396825,0.641026,0.603175,0.490196,0.323077,1.984127,0.245
25,14,37,119,0.237179,0.641026,0.403226,0.641026,0.596774,0.49505,0.317949,2.016129,0.252
25,14,36,120,0.230769,0.641026,0.409836,0.641026,0.590164,0.5,0.312821,2.04918,0.254167
25,14,35,121,0.224359,0.641026,0.416667,0.641026,0.583333,0.505051,0.307692,2.083333,0.26
25,14,34,122,0.217949,0.641026,0.423729,0.641026,0.576271,0.510204,0.302564,2.118644,0.261429
24,15,34,122,0.217949,0.615385,0.413793,0.615385,0.586207,0.494845,0.297436,2.068966,0.269167
24,15,33,123,0.211538,0.615385,0.421053,0.615385,0.578947,0.5,0.292308,2.105263,0.27
23,16,30,126,0.192308,0.589744,0.433962,0.589744,0.566038,0.5,0.271795,2.169811,0.272667
22,17,30,126,0.192308,0.564103,0.423077,0.564103,0.576923,0.483516,0.266667,2.115385,0.272857
22,17,29,127,0.185897,0.564103,0.431373,0.564103,0.568627,0.488889,0.261538,2.156863,0.27627
22,17,28,128,0.179487,0.564103,0.44,0.564103,0.56,0.494382,0.25641,2.2,0.28
22,17,27,129,0.173077,0.564103,0.44898,0.564103,0.55102,0.5,0.251282,2.244898,0.280143
22,17,26,130,0.166667,0.564103,0.458333,0.564103,0.541667,0.505747,0.246154,2.291667,0.293
21,18,26,130,0.166667,0.538462,0.446809,0.538462,0.553191,0.488372,0.241026,2.234043,0.303571
21,18,25,131,0.160256,0.538462,0.456522,0.538462,0.543478,0.494118,0.235897,2.282609,0.316667
20,19,25,131,0.160256,0.512821,0.444444,0.512821,0.555556,0.47619,0.230769,2.222222,0.329422
20,19,24,132,0.153846,0.512821,0.454545,0.512821,0.545455,0.481928,0.225641,2.272727,0.33
20,19,23,133,0.147436,0.512821,0.465116,0.512821,0.534884,0.487805,0.220513,2.325581,0.3325
20,19,22,134,0.141026,0.512821,0.47619,0.512821,0.52381,0.493827,0.215385,2.380952,0.35381
20,19,21,135,0.134615,0.512821,0.487805,0.512821,0.512195,0.5,0.210256,2.439024,0.3575
19,20,21,135,0.134615,0.487179,0.475,0.487179,0.525,0.481013,0.205128,2.375,0.36
19,20,20,136,0.128205,0.487179,0.487179,0.487179,0.512821,0.487179,0.2,2.435897,0.366667
19,20,19,137,0.121795,0.487179,0.5,0.487179,0.5,0.493506,0.194872,2.5,0.378944
19,20,18,138,0.115385,0.487179,0.513514,0.487179,0.486486,0.5,0.189744,2.567568,0.39
19,20,17,139,0.108974,0.487179,0.527778,0.487179,0.472222,0.506667,0.184615,2.638889,0.3915
19,20,16,140,0.102564,0.487179,0.542857,0.487179,0.457143,0.513514,0.179487,2.714286,0.395917
19,20,15,141,0.096154,0.487179,0.558824,0.487179,0.441176,0.520548,0.174359,2.794118,0.4005
19,20,14,142,0.089744,0.487179,0.575758,0.487179,0.424242,0.527778,0.169231,2.878788,0.408333
18,21,14,142,0.089744,0.461538,0.5625,0.461538,0.4375,0.507042,0.164103,2.8125,0.429167
18,21,13,143,0.083333,0.461538,0.580645,0.461538,0.419355,0.514286,0.158974,2.903226,0.43
17,22,13,143,0.083333,0.435897,0.566667,0.435897,0.433333,0.492754,0.153846,2.833333,0.431667
17,22,12,144,0.076923,0.435897,0.586207,0.435897,0.413793,0.5,0.148718,2.931034,0.433667
16,23,12,144,0.076923,0.410256,0.571429,0.410256,0.428571,0.477612,0.14359,2.857143,0.436667
16,23,11,145,0.070513,0.410256,0.592593,0.410256,0.407407,0.484848,0.138462,2.962963,0.436833
15,24,11,145,0.070513,0.384615,0.576923,0.384615,0.423077,0.461538,0.133333,2.884615,0.47
15,24,10,146,0.064103,0.384615,0.6,0.384615,0.4,0.46875,0.128205,3,0.4775
14,25,10,146,0.064103,0.358974,0.583333,0.358974,0.416667,0.444444,0.123077,2.916667,0.477833
14,25,9,147,0.057692,0.358974,0.608696,0.358974,0.391304,0.451613,0.117949,3.043478,0.494
14,25,8,148,0.051282,0.358974,0.636364,0.358974,0.363636,0.459016,0.112821,3.181818,0.498972
14,25,7,149,0.044872,0.358974,0.666667,0.358974,0.333333,0.466667,0.107692,3.333333,0.5
13,26,6,150,0.038462,0.333333,0.684211,0.333333,0.315789,0.448276,0.097436,3.421053,0.510575
13,26,5,151,0.032051,0.333333,0.722222,0.333333,0.277778,0.45614,0.092308,3.611111,0.52081
13,26,4,152,0.025641,0.333333,0.764706,0.333333,0.235294,0.464286,0.087179,3.823529,0.530333
13,26,3,153,0.019231,0.333333,0.8125,0.333333,0.1875,0.472727,0.082051,4.0625,0.56
12,27,3,153,0.019231,0.307692,0.8,0.307692,0.2,0.444444,0.076923,4,0.6175
11,28,3,153,0.019231,0.282051,0.785714,0.282051,0.214286,0.415094,0.071795,3.928571,0.635512
10,29,3,153,0.019231,0.25641,0.769231,0.25641,0.230769,0.384615,0.066667,3.846154,0.65
