@RELATION biodiversitySpreadsheets_whithoutWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{expObservation,spCatalog,spOccurrence,geneData,spMonitoring}

@DATA
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
7.00,0.00,0.00,1.00,2.00,1.00,spCatalog
2.00,2.00,0.00,0.00,2.00,1.00,spCatalog
2.00,0.00,0.00,2.00,0.00,1.00,spCatalog
4.00,0.00,0.00,0.00,1.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,0.00,spCatalog
3.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
6.00,2.00,0.00,0.00,2.00,1.00,spCatalog
3.00,0.00,0.00,0.00,0.00,0.00,spCatalog
0.00,2.00,0.00,0.00,1.00,0.00,spCatalog
2.00,1.00,0.00,0.00,1.00,1.00,spCatalog
10.00,0.00,0.00,0.00,4.00,2.00,spCatalog
4.00,1.00,0.00,0.00,1.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
0.00,2.00,0.00,0.00,1.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
1.00,1.00,0.00,1.00,0.00,0.00,spCatalog
6.00,0.00,0.00,0.00,0.00,0.00,spCatalog
3.00,1.00,0.00,0.00,1.00,0.00,spCatalog
3.00,0.00,0.00,0.00,0.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
8.00,3.00,0.00,0.00,1.00,3.00,spCatalog
15.00,0.00,0.00,0.00,0.00,0.00,spCatalog
15.00,0.00,0.00,0.00,0.00,0.00,spCatalog
0.00,6.00,0.00,0.00,0.00,1.00,spCatalog
5.00,2.00,0.00,0.00,0.00,0.00,spCatalog
8.00,0.00,0.00,0.00,0.00,0.00,spCatalog
0.00,1.00,0.00,3.00,0.00,0.00,spCatalog
3.00,6.00,0.00,0.00,2.00,2.00,spCatalog
1.00,2.00,0.00,0.00,1.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
2.00,1.00,0.00,0.00,0.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
7.00,1.00,1.00,0.00,3.00,0.00,spCatalog
3.00,0.00,0.00,0.00,0.00,0.00,spCatalog
9.00,0.00,0.00,0.00,0.00,0.00,spCatalog
11.00,1.00,0.00,0.00,0.00,0.00,spCatalog
6.00,1.00,0.00,0.00,0.00,1.00,spCatalog
3.00,1.00,0.00,0.00,1.00,0.00,spCatalog
2.00,2.00,0.00,0.00,1.00,1.00,spCatalog
54.00,1.00,0.00,5.00,0.00,0.00,spCatalog
6.00,1.00,7.00,3.00,3.00,3.00,spCatalog
8.00,4.00,0.00,1.00,4.00,0.00,spCatalog
3.00,1.00,0.00,0.00,0.00,0.00,spCatalog
3.00,1.00,0.00,0.00,0.00,0.00,spCatalog
3.00,1.00,0.00,0.00,0.00,0.00,spCatalog
6.00,0.00,0.00,0.00,0.00,0.00,spCatalog
1.00,2.00,0.00,0.00,1.00,1.00,spCatalog
1.00,2.00,0.00,0.00,1.00,1.00,spCatalog
7.00,1.00,0.00,0.00,0.00,0.00,spCatalog
9.00,2.00,0.00,0.00,0.00,0.00,spCatalog
9.00,0.00,0.00,0.00,1.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,1.00,spCatalog
4.00,2.00,0.00,0.00,1.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
3.00,0.00,0.00,0.00,0.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
8.00,3.00,4.00,2.00,8.00,1.00,spCatalog
22.00,7.00,4.00,1.00,19.00,3.00,spCatalog
7.00,6.00,0.00,1.00,2.00,2.00,spCatalog
6.00,6.00,0.00,1.00,2.00,2.00,spCatalog
6.00,6.00,0.00,1.00,2.00,2.00,spCatalog
2.00,2.00,0.00,1.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,1.00,spCatalog
11.00,2.00,0.00,0.00,5.00,1.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
6.00,0.00,0.00,0.00,0.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
7.00,0.00,0.00,0.00,0.00,0.00,spCatalog
7.00,0.00,0.00,0.00,0.00,0.00,spCatalog
8.00,0.00,0.00,1.00,0.00,0.00,spCatalog
9.00,0.00,0.00,1.00,6.00,0.00,spCatalog
3.00,0.00,0.00,0.00,1.00,0.00,spCatalog
9.00,0.00,1.00,0.00,0.00,1.00,spCatalog
2.00,0.00,0.00,0.00,0.00,1.00,spCatalog
3.00,1.00,0.00,0.00,0.00,0.00,spCatalog
2.00,1.00,1.00,0.00,1.00,0.00,spCatalog
9.00,1.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,3.00,1.00,spCatalog
3.00,1.00,0.00,1.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
3.00,4.00,3.00,0.00,3.00,3.00,spCatalog
9.00,0.00,0.00,0.00,1.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,0.00,0.00,0.00,0.00,0.00,spCatalog
3.00,1.00,0.00,0.00,1.00,2.00,spCatalog
4.00,4.00,0.00,1.00,4.00,1.00,spCatalog
10.00,0.00,0.00,0.00,1.00,0.00,spCatalog
10.00,0.00,0.00,0.00,1.00,0.00,spCatalog
1.00,2.00,0.00,0.00,2.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
7.00,0.00,0.00,0.00,1.00,0.00,spCatalog
4.00,0.00,0.00,0.00,0.00,0.00,spCatalog
5.00,1.00,0.00,0.00,0.00,1.00,spCatalog
